Model,Metric,Mean (Same Folder),Mean (Different Folder),Std (Same Folder),Std (Different Folder),Min (Same Folder),Max (Same Folder),Min (Different Folder),Max (Different Folder),Separation (Mean Diff),Dynamic Range (Same Folder),Dynamic Range (Different Folder),SNR,Kurtosis (Same Folder),Kurtosis (Different Folder),Skewness (Same Folder),Skewness (Different Folder),Overlap Percentage,Separation Ratio,Median (Same Folder),Median (Different Folder),Suggested Threshold,False Positive Rate,False Negative Rate
VGG-Face,hausdorff,0.9242068641001868,1.2716804114439832,0.10923604323759613,0.05128143827701783,0.7624076479058702,1.1164516413411159,1.1637462779803307,1.3585324171982025,0.34747354734379643,0.3540439934352456,0.1947861392178718,2.1647084421279152,-0.9587022616023084,-0.6448146643426926,0.404780156714663,-0.3289336668355227,5.610191629804281,0.6331167453653891,0.8975008789345478,1.2848352669570933,1.097943637772085,15.0,0.0
VGG-Face,braycurtis,0.5647219495847983,0.8472513847122203,0.07667435364155727,0.0434413346375259,0.4507947980340044,0.7068231322550668,0.756207073902041,0.9220055278698019,0.282529435127422,0.25602833422106236,0.16579845396776094,2.352144329981094,-0.8853632142835091,-0.8495001233753898,0.47683186097400493,-0.23934731886192226,3.1779250229582097,0.6697759436770353,0.5484361780355229,0.8599999184168496,0.7059866671485093,5.0,0.0
VGG-Face,jensenshannon,0.5504156153675931,0.7400376538725421,0.05380754839865078,0.02563297464163421,0.4669556480166543,0.6458937632013937,0.6853456090949517,0.7847806037890267,0.18962203850494896,0.1789381151847394,0.09943499469407502,2.3869686558935412,-0.9574870465980352,-0.6820709296613194,0.4100868805374667,-0.3111123192256192,2.8062867736830266,0.6811794378684711,0.5397864714948778,0.7479220190405588,0.6452266346200676,5.0,0.0
VGG-Face,minkowski,0.3691389747427979,0.496789193848543,0.03684130183224876,0.01840704881728066,0.3102759248122157,0.4350773439824233,0.4592006785717622,0.5319820407803963,0.1276502191057451,0.1248014191702076,0.07278136220863413,2.310480179136938,-1.0293854820835917,-0.6409203345717773,0.2829275683053904,0.09098932793032852,2.7257468518573464,0.6460594299509876,0.36911318917651514,0.4935348424265327,0.43296408429567046,5.0,0.0
VGG-Face,chebyshev,0.12629358361711415,0.17435439663915642,0.017898910338780317,0.02703661058059312,0.09640596092710163,0.16218562809213125,0.1465785836080667,0.23292371761318467,0.048060813022042265,0.06577966716502961,0.08634513400511798,1.0695505924650668,-0.4550712528103249,0.08864765964589028,0.5043261778952987,1.1919958460875921,29.446347095840824,0.3159301616327998,0.12311737369331005,0.16003393106753663,0.1503239901281353,15.0,12.0
VGG-Face,mse,0.0002114479591777604,0.0003954591930571529,5.054818788314524e-05,3.163951478045968e-05,0.00014191050331673874,0.000304312565296209,0.000330640966677996,0.0004505884591255838,0.0001840112338793925,0.00016240206197947024,0.00011994749244758778,2.238914435077378,-0.8509545279808175,-0.6992184283033285,0.5548872073413812,-0.25319422131767344,5.069238406181042,0.6517142704644495,0.0001966734269929684,0.0004030277498087653,0.00030345357611745666,5.0,0.0
VGG-Face,hamming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,100.0,,0.0,0.0,0.0,0.0,100.0
VGG-Face,canberra,,,,,,,,,,,,,,,,,100.0,,,,,0.0,0.0
SFace,manhattan,81.83010044293478,106.80409070979803,13.528278010176841,6.3982651151171765,60.127187700010836,104.26352325454354,93.15918933227658,121.64537366107106,24.973990266863254,44.13633555453271,28.48618432879448,1.2533026983070734,-1.1863519368879742,-0.21987246925260173,-0.00921980885831341,0.10343282238896087,25.5263651546091,0.3438876853486439,84.29521315032616,106.91086777020246,94.3170955763664,15.0,4.0
SFace,canberra,74.92225582090411,88.18506132188523,9.877505620487288,3.4879576367719434,59.67452938857834,90.33795042206484,81.47480130092792,95.22267258076305,13.262805500981116,30.663421033486493,13.747871279835124,0.9923191770983054,-1.310038148443595,-0.5096492003005539,0.02428126204832497,-0.22319271912042718,34.29499520827377,0.2986358831310748,74.6396796925857,88.41915844150728,81.55365857139466,35.0,8.0
SFace,hamming,38.6,49.88,9.107140056021978,4.5017329996346955,25.0,54.0,41.0,61.0,11.280000000000001,29.0,20.0,0.8288709839431817,-1.2293993310349125,0.5315228638152409,0.33030152430739546,0.646904930515978,40.00386271109218,0.23020408163265307,37.5,50.0,44.24,30.0,12.0
SFace,euclidean,9.075041631893473,11.678777761187025,1.383182543762492,0.7383003981569909,6.833686012466215,11.36961848741482,10.225814317274484,13.343195971714152,2.6037361292935515,4.535932474948606,3.1173816544396686,1.2273189087901566,-1.211218430454088,-0.44967288951416196,-0.08533273590478835,0.21285449495045833,26.58409673727082,0.34021027822382965,9.531110674431272,11.645551311928584,10.376909696540249,15.0,4.0
SFace,hausdorff,9.075041631893473,11.678777761187025,1.383182543762493,0.7383003981569911,6.833686012466213,11.369618487414822,10.225814317274484,13.343195971714149,2.6037361292935515,4.535932474948609,3.117381654439665,1.2273189087901561,-1.211218430454088,-0.4496728895141717,-0.08533273590478851,0.2128544949504536,26.58409673727085,0.34021027822382965,9.531110674431268,11.645551311928585,10.376909696540249,15.0,4.0
SFace,minkowski,4.712178255614388,6.005175684231972,0.680085207766784,0.4135743734594992,3.618039613531117,5.820952107487886,5.333059843320586,6.83239923463309,1.2929974286175838,2.2029124939567692,1.4993393913125042,1.1822668139274104,-1.243119748805688,-0.8351134988961055,-0.09399546408168488,0.27633152329306954,29.186185672024607,0.34924620708878135,4.919587343701569,5.930233577533377,5.35867696992318,15.0,8.0
SFace,chebyshev,2.175906128063798,2.804932970404625,0.2631777549347969,0.3805872554207367,1.6817142218351364,2.869432806968689,2.1522938013076782,3.527100682258606,0.629026842340827,1.1877185851335526,1.3748068809509277,0.9771062922376488,0.6198892730438126,-0.9135312193574929,0.3255064567684668,0.3926434639878124,34.54323124883705,0.24547145020259067,2.2051080465316772,2.661304235458374,2.4904195492342116,5.0,20.0
SFace,mse,0.6583560513278832,1.0698354490087143,0.19530389889408836,0.13573274054178577,0.3648380040388781,1.0099080042919133,0.8169318629013735,1.3909443651528814,0.4114793976808311,0.6450700002530352,0.5740125022515079,1.2430025823789204,-1.1633434270104213,-0.37254159566127365,0.09622081405513107,0.3543165908846232,26.430891519284778,0.33753203481755134,0.7098516439505707,1.0595223856153249,0.8640957501682988,15.0,4.0
